,comment
48,"미쳤냐고오오오!!!하....장기용...미쳤다구
내기그날잘했니???!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
임크리스탈!!!!!!!!!직품욕심더내고 예능도 출연해줘ㅓ
그거알아?당신 재미없는거아니야 그니까나와 어디라도
제발!!!!!!!"
49,죽은 연애세포가 장기용때문에 다시 살아나기 시작했다.
50,장기용은 박모건이 레전드였지 진짜
51,Im soo jung' s performance in Chicago Typewriter was ️️️️️️
52,"모건이 같은 사람 이 세상에 없어요.~ㅠㅜ
기용씨 차기작 기대합니다.
검블유도 좋고..이리와 안아줘..내 최애 드라마"
53,"""미성년자는 아니야"" 대사 너무 좋아요"
54,"이게 진정한 끼부림이구나

0:20 열심히 하랬더니 열심히 하네요
1:07 만날 때마다 키스하는 편이시네
1:24 미성년자는 아니야
1:30 누가 실수래요 난 실수 아니었는데 
         나 그런 실수하는 사람 아니에요
1:40 나쁜 여자 뭐 그런 거예요?
1:54 왜지?
2:07 뭐긴 키스받은 남자죠
3:02 그 어장에 들어가볼라고
3:10 나 생활력 강하거든(찡긋)
3:21 귀여우면 가져야지"
55,임수정 미사 찍을때 장기용 초6 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 이렇게 대입하면 안되는데
56,드라마가 좀 이렇게 판타지스러운것도 좋징
57,귀여우면 가져야지 귀여우면 가져야지 귀여우면 가져야지..
58,아 나 진짜 벌써 일년도 넘었는데 이드라마에서 못 헤어나와..
59,"Ki Yong oppa is PERFECTION PERSONIFIED,  words are beyond me describing our handsome Oppa!"
60,I love how he teased her... So giddy...
61,고백부부 보고왔는데 여윽시 장굥은 연상보단 연하가 찰떡콩떡이네
62,"다시 또 보고 싶다.,,,,...,... 편성 많이 너어줘요ㅠㅠ"
63,이드라마 너무 센스돋아 진짜.이런.10살 연하는 드라마에나 있는거겠지 ㅋㅋㅋ
64,이 드라마는 목소리 장인들만 모아놨냐? 설지환에 모건에ㅡㅡ 목소리만 들어도 진짜 설레네
65,배타미 너무 귀여워ㅜㅜ
66,아니 느끼한줄알았는데 그냥 설레...
67,미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...미성년자는 아니야...
68,와... 장기용... 대박이다..... 외모보다도 목소리가 너무 좋다ㅠ
69,임수정은 뭔가 그시대를 그리워하게 하는 감성을 지닌 외모같다...
70,임수정도 귀엽네 ㅋㅋㅋ
71,임수정씨 입술 진짜 예쁘다..진짜 립 뭐 바르든 너무 이뻐
72,"코 찡긋거릴 때 너무 귀여워
아파트 뿌시고 지구 뿌실꺼야"
73,He is sooo cute and handsome  
74,진짜 작가 배운 변태 맞다니까 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
