,comment
4113,i need park morgan in my life
4114,장기용 보러 왔다가 임수정에게 반함..
4115,앜ㅋㅋㅋ 진짜 편집 맘에 들어욧!!!!
4116,"입문서 다음으로 심화까지 잘 부탁드립니다,,"
4117,박모건감독 잠좀재워 할때가 찐으로 웃겼다 아됐고 프린세스메이커 브금제작자가 참여한 게임 하고있다
4118,I like the main actor he is awesome
4119,I'm I the only one drooling over his voice
4120,박모건 진정 사랑의 남신이당 넘 귀여워
4121,끝나고도 보러오는 검블유애청자 손
4122,"나쁜 녀석들 보고 장기용한테 반했습니다
그리고 이거보고 한번 더 반했습니다."
4123,"이 남자...
얼굴보다 목소리가 다했네~~
진짜 멋지다..."
4124,카메라 무빙 쪈다 진짜 ㅋㅋㅋㅋㅋ
4125,검블유에 나오는 대사들은 뭔가 특별한것(?) 같아서 좋다ㅎ무심한듯 툭툭 내뱉는 대사도 뭔가 신선하고 특별함ㅎㅎ
4126,"I love this couple. 

No, actually just the guy. Lol."
4127,"가지말까요 에서 지렸다. 진짜.   
넘사랑해 장기용"
4128,카메라 감독 칭찬 해야겠넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4129,미쳤다..나 이거 봤는데 다시 정주행할래...
4130,남자한테 청순섹시 첨 느껴본다ㅋㅋㅋㅋ
4131,Watching all the videos from this drama while i wait for the new episode 
4132,나 진짜 일 끝나고 졸리고 피곤하고 다음날 출근인데 요즘 이거 계속 보는즁 하루에 한번씩 대리 설렘 오진다고..내 입꼬리 눈치챙겨
4133,7:41 아..심장아파ㅠㅠㅠㅠㅠㅠㅠ저표정 놀란표정 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜ 8:12 가지말까요?뭔데 왜이렇게 목소리가 좋은건데 눈빛뭔데ㅠㅠㅠㅠ엉엉 ㅠㅠㅠㅠㅠㅠㅜ
4134,비현실적 이라고 하는데 그런 일이 가끔 일어나기도 하는게 현실이다.
4135,"이건,, 정말 레전드이죠,, 암요,, 배타미 마음=내마음"
4136,"현실에서 이런 남자는 거진 없죠. 있다면 위험한 경우가 대부분이고.. 
극히 드물게 있다고 해도 내가 임수정이 아닌 다음에야 일어날 수 없는 일임을 알고 있으니...
슬프네... 드라마로 대리만족이나 해야것다...ㅠㅠ"
4137,"임수정 좋아해서 보기 시작했는데, 장기용한테 빠졌습니다 ㅋㅋ 장기용 연하남인데 들이대는 거 너무 잘해 ㅜㅜ 지금 헤어지는 중입니다도 이거랑 비슷한 느낌이긴한데 그래도 좋더라구여 ㅋㅋ"
4138,2:26 대사 진짜 잘살린다
4139,자막이 너무재밌네요ㅋㅋㅋ
4140,난 자막 주접이 너무 웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그럼 나도 해요? (세상에)
4141,가지말까요? 할때 눈빛 미쳤어 끼악 ㅜ
4142,i love the way she called his name. 
4143,2:18 세상에라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ자막이더웃곀ㅋㅋ
4144,"Éste parte me recuerda a cuando una fan le gritó a Suga 
""Te voy a denunciar porque me haces muy mal""
Éste hombre me tiene así ️️️"
4145,뭔가 수지랑 장기용 드라마 조합 보고싶다 존잘존예일듯
4146,Dang! I am so sad there's no English subs 
4147,장기용 목소리가 너무좋네
4148,"왜자꾸 다본드라마 처음부터 다시보게 만들어!!




♡애정해"
4149,"내 심장 왜 나대냐,,,, 장기용 잘생긴거 왜 이제 알았냐,,, 좋은건 둘이 하는데 왜 내가 부끄러워서 보다 멈추다 하냐,,,, "
4150,검블유는 아직 까지도 인생드라마 .........
4151,깐모건 진짜 미쳐
4152,I watch this and remember with ep. 14 it makes my heart hurt
4153,엘베 닫혀서 다시 급하게 여는거 보고 개 터졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4154,"8:11 when he asked if he shouldn't leave, I giggled(?) I mean that deep voice though"
4155,숨은 좀 쉬게해줘야죠ㅋㅋㅋ너무 하시네요 (앞으로도 요러케..잘 부탁드립니다ㅋㅋㅋ)
4156,가지말까요 라니..... 작가님 대본최고...
4157,난 장기용이  임수정이랑  케미가 제일 잘 어울리는것같다
4158,나만 지금 소리내면서 웃으면서 존나 감탄하면서 우는거 아니지 그그ㅡ그그그 여러분 그거봐요 장기용 코 찡긋하면서 눈읏음 치는거 미쳤나 ;; 아 진짜 하 진짜 ㅎ하 사랑해요 하 진짜 후 정말 사랑해 장기용 사랑해요 저게 사람 얼굴이야? 사람ㅇ야 사람 홀리는 인어야 여러분 장기용하세요 하 사랑해
4159,남주가 막 잘생기진 않았는데 매력 오진다 ㅠㅠ
4160,He such a tease 
4161,"설렌다...
마음이 펄떡펄떡 뛴당.."
4162,해외라 드라마를 못봐서 확실하진않지만 특히 이 커플씬은 그동안의 남성중심 드라마에서 예쁜 여배우가 어떻게 소비되어 왔는지 보여주고 작가 감독 배우까지 잘 알고 연기하는 거 같은데 유투브 온라인 홍보팀만 핀트 못 맞추고 있는거같네.
4163,ㅋㅋㅋㅋ카메랔ㅋㅋㅋ무슨 오늘이 마지막인 것처럼 장기용 찍넼ㅋㅋㅋㅋㅋㅋ
4164,ㅅㅂ 사람아니야 장기용 진짜 작가님 사랑해요 아무튼
4165,His smile is AMAZING  like I'm over here trying to figure out his teeth because they BEAUTIFUL AF! 
4166,아 진짜 미치겠다 앜ㅋㅋㅋㅋㅋ
4167,ㅗㅜㅑ...근데 캐스팅 너무 잘했다 나이차 별로 안나보여 임수정이 겁나 동안이라 그런가...
4168,"드라마가 이렇게 섹시해도 됩니까!!
계속 이렇게 섹시하게 해주심 감사해요
입덕의 길 밖에 없네요"
4169,어이구.. 아이구야.. 감사합니다 감사합니다.. 임수정 연기천재다...
4170,헤어지는 복도에서 끝까지 질척질척 하는데 왜 좋지?ㅜㅜㅜㅜ가지말까요 왜 에코 넣는데??심장  떨리잖아ㅋㅋㅋㅋㅋ
4171,Park Morgan is just so... sensual 
4172,씨발 이게 뭥...뭐야 남자 왜케 섹시함 말투 목소리 대사에 심장이 후드려 패지는 중...... 언니는 말할것도없이 좋아요 언니
4173,ㅈㄴ 좋다......... 둘이 진짜 사귀어도 손색없음 ㅠㅠㅠㅠ
4174,엘리베이터 눌렀을때 나왔을때 표정때매 순간 스릴러인줄ㅋㅋㅋㅋ
4175,하 박모건 한번만 영접할수 없을까요 진짜 소원임...........ㅠㅠ 기용아..
4176,아니 이건 자막이 더웃김 ㅋㅋㅋㅋㅋㅋㅋ자막센스터져
4177,"저세상 미모닷  나의 사랑 장기용 
임수정도 이쁘지만 장기용의 목소리와 미소.눈빛 숨멎주의 캬~~♡"
4178,장기용 머리내리니까 92년생으로 보이네 ㅋㅋㅋ
4179,40대 미모 실화냐
4180,사랑해 그냥 장기용ㅠㅠㅠㅠㅠㅠㅠ
4181,모건이 모델미 뿜뿜
4182,"너무 좋다,,,, 주접떠는 인간들 마음 너무 잘 알아,,,,,"
4183,카메라무빙좋고 필터좋고 목소리좋고 브금좋고 크으 대사도조아 얼굴도 조앙~!~!
4184,검블유 보면서 제일 아쉬웠던거 이제서야 터놓고 얘기한다.....도대체...왜....장기용 앞머리를 그렇게 못눌러서 안달이 났던거죠 앞머리 깐 게 확실히 인물이 사는 느낌도 있지만 앞머리 내린 것도 충분히 잘생겼는데 거의 뭐 고데기로 다 핀 것 마냥 너무 눌리게 나와서 혼자 주먹울음했던 제 심정 아십니까...
4185,장기용목소리진짜 미쳤나 ㅜㅜ
4186,아니 대사 뭔데 진짜 뭔데 장기용 진짜 뭔데 ..
4187,분위기 왜캐섹시한거야? 이게 연하의섹시다ㅜㅜㅜ
4188,웃는거 미쳤냐고 ..
4189,아진짜 장기용..미치겠네~~~♡♡♡
4190,I DNT understand  bcoz der Iz no eng. Sub. But still  I love da scene
4191,장기용은 ㄹㅇ 사이코 연기도 존나 잘어울릴듯 ........집 앞에서 대사하는데 눈빛이 ..
4192,꿈에라도 배타미가 한번만  되어보고 싶다아
4193,엘레베이터 씬  '문이 닫힙니다' 할까봐 조마조마 함
4194,나.. 간떨어지는동거 보고 보고싶어서 찾아와쒀........ ㅠㅠㅠㅠㅠ 미춰버리겟눼
4195,진짜 타미언니맘이 내맴이다
4196,Park Mogan know how to flirt. If he did this to me I will give him my whole life.
4197,왜 장기용은 흰셔츠입고 단추도 다잠궜는데.. 왜케 섹시한건가요 ㅜㅜㅜ
4198,같은 92년생인데 내주변은 왜 아직도 만나면 죄다 게임얘기중인건가...
4199,"심쿵~~~~×10000♡♡♡
미쵸 장기용앓이는쭈욱♡
넘 설레네~^"
4200,와 보다가 혼자 넋나가서 코에 폰 떨어뜨림 ㅜㅜㅜㅜ아 ㅜㅜㅜㅜㅜㅜㅜ
4201,역쉬 연하남 진리
4202,사랑해 장기용ㅠ
4203,하....이런건 좀....너무 좋은 건 아닌가요?
4204,장기용 미쳣다진짜!! 개조아
4205,감독님 작가님들 전지적 누나 시점에서 앞으로도 부탁드리옵니다 
4206,존나 저는 이 드라마를 보고 현실에 살지 않기ㅣ로 햇숩미다. 검블유로 간다
4207,미소 목소리  섹시한  콧날    미친다 진짜ㅠ
4208,돌았다 무슨 이런 판타지가 있지ㅜㅜ 연하남이 짱이네 현실에선 저런사람 없다는거 알고 드라마일뿐인데 몰입되네
4209,작가님 만세 감독님 만세
4210,난 아무리 봐도 백번봐도 모건이는 깐모건이다
4211,내 머릿 속 = 감독님 카메라 흐름
4212,ㅋㅋ 대사 웃겨죽겠다 ^^
4213,5:03 장기용이 제일 좋아한 장면
4214,"박모건 대사에는 죄가 없다..
장기용 볼때마다 남배우중 본적없는 신선한 마스크 같으면서도 어딘가 익숙하다 했는데
컷부 12컷 만화 남주랑 개똑같이 생김"
4215,장기용 징짜 설렘 요소 많쿠요앜
4216,임수정 목소리 너무 멋져
4217,He’s the handsomest thing on this earth......
4218,임수정 말투 너무이쁘다 쿠ㅜㅠㅠ
4219,왜 내 숨이 멎어있는거지..??
4220,장기용♡♡  이상형정착!!
4221,허머나 시벌탱 장기용 썸남때부터 매력터지는건 알고있었지만 이거 먼데 왤케 잘생긴건데
4222,ㅜㅜㅜ연출 대박이야ㅜ
4223,his looks is killing my heart!
4224,"가지말까요?
명대사네.
가슴을 후벼파네.."
4225,진짜..설레죽어
4226,"진짜 시청률 이해안되는 드라마,,,"
4227,아 시발 머리 좀 그만 벗기세요로 보고 장기용 탈모온줄 알았다곸ㅋㅋㅋㅋㅋ
4228,아니 미친 내가 제일 변탠줄 알았더니 이분들 뭐야.... 사랑해요.
4229,완전 완전 인생드라마!!!!!
4230,워씨~~~~ㅋㅋㅋㅋㅋ 카메라무빙뭐야 ㅋㅋㅋㅋㅋ 딱 내 마음이자녀 ㅋㅋㅋㅋ
4231,Ahhh..that guy ugh!! He's so handsome 
4232,장기용 너무 산뜻하네ㅎ
4233,아유 이제 넷플 나오면 머해 장기용 군대가는데ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
4234,OMG! They're so sweet!
4235,오랜만에 드라마보면서 설레고 콧평수 넓어진당으으으응 ㅜㅠㅠ
4236,Can I have the name of this drama in English please and thank you 
4237,بحب هل مسلسل كتير بحبو ️️️️️️
4238,I need park morgan in my life
4239,아 진짜 자막 뭔뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ카메라앵글도 미쳤엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ배운변태들 같으닠ㅋㅋㅋ
4240,ㄹㅇ 언니들의 판타지..
4241,"이 장면은 진짜... 내 인생 장면.
완전 여자 마음 너무 잘 아는.. 크으..... 뽀르노야, 뽀르노.

이 카메라감독님.. 분명 여자이거나 여자이셨거나."
4242,나만 이거 주기적으로 봐주냐..ㅎ
4243,나도 40대 되면 단발 안하고 저런 머리 스타일 해야지.. 진짜 소녀 같음
4244,여긴 카메라 무빙 맛집이야
4245,Jajaja asi nos vemos todas al mirarlo
4246,솔직히 ...이드라마 임수정 목소리가 다함 ....
4247,걍 임수정님은 멀 해도....정답인거 같습니다.
4248,장기용이 이렇게 잘생긴애였나..?!
4249,2:18 세상엨ㅋㅋㅋㅋ세상에 내가 육성으로 한 단엌ㅋㅋㅋㅋㅋ 아 자막센스 ㅋㅋㅋㅋ
4250,"작가님 감사합니다.,대사하나하나...ㅠㅜ"
4251,임수정 진짜 오랜만에본다 좋다
4252,저 깨알 자막은 뭔가요 정말이지 너무 바람직하네요. 너무 웃겨요. 센스쟁이들 ㅋㅋ
4253,장기용은 진짜 저 반깐이 미침 ㅠㅠ
4254,Even his footsteps sound handsome hahahhaah what is wrong with meee
4255,내가 검블유 좋아하는 이유 다른 드라마였음 여기서 끝났다 7:32 커쥬 워 마이 겨얼 ~
4256,장기용은 진심 머리를 빡 까야돼 그 잘생긴 얼굴 두고 답답하게 가리는거 ㄹㅇ 얼굴 손해 ㅠㅠㅠㅠㅠㅠ
4257,"Dam, they way she looks at him is giving me breathing problems 
Is it hot in here?"
4258,와 장기용 처음보는데 목소리 애진다
4259,Now I see jang ki young everywhere .He must be so tired.  Hwaiting brother!
4260,이거 볼 때 진짜 소리지르면서 봤는데 ㅋㅋㅋㅋ
4261,내 인생을 망치러 온 검블유
4262,남자가 너무 섹쉬함. 목소리까지
4263,그래 박모건이지…어르신이 아니고 박모건이라고.
4264,"배타미가 막 가서 "".....가지마"" 이러고 먼저 가서 키스 할 줄 알았는디ㅋㅋㅋ이것도 좋긴하다 ㅣㅎㅎ"
4265,뒤에 장범준 목소리 머야 대박 좋다
4266,"Hot Damn, Jang Ki Yong is a good kisser "
4267,아 진짜 배운변태들이다 ... 사랑합니다
4268,어우 숨을 못쉬겠다.... 미친 호흡.. 으아... 대사 중간중간 텀이 너무 섹시함..
4269,역시 남자는 연하남이 최고지
4270,이거 보니까 자꾸 동석형님이랑 뽀뽀신이 생각나네요 ㅠ 장기용♡마동석 커플 오래가세요ㅠㅠ
4271,임수정 목소리 ㅠ개조앙
4272,I'm 28 yo and why there's no one like Park Morgan in among of my male friends??? 
4273,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ둘다 목소리 설탕이냐 개달달해 ㅠㅠㅠㅠㅠㅠ
4274,이런 씬도 잇꾸나.. 난 왜 이 드라마가 배타미와 언니들의 치정극인줄 알았지?
4275,8:19 장기용 입술 잘못 자리잡았다가 다시 고침 ㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋ
4276,ยิ้มละลาย/น่ารักคู่
4277,너너무 야하게입고다니는거아니넄ㅋㅋㅋㅋㅋㅋㅋㅋ 이 드라마 이렇게 재밌었다니
4278,"설러게 웃고 설러게 커피 놓고 가네..
어우 셔츠안에 보일듯 말듯 아찔하다...
카메라 움직임 장난아닌데?
모두 검블유 하세요"
4279,뭔가 사람 분위기 자체가 너무 섹시해 엉엉
4280,"모건이 매달리는것같지만 사실 휘둘리는건 타미.
드라마속 두사람은 지금쯤..
저러다 헤어지면 타미는 최소 사망각.
저런 연하는 세상에 없슴."
4281,못내려가고 있었어ㅠ 모건♡♡
4282,흐미 마지막 키스씬 달달한거보소 노래까지
4283,알았어요... 볼게..본다구....ㅠㅠㅠㅠㅠ안볼수가ㅜ없는 편집이잖아.....
4284,"머리 맨날 내리던 인간들은 함부로 까면 안되고, 머리 맨날 까던 인간들은 함부로 내리면 안됨. 왜냐면 심장이 터질 거 같거든"
4285,와..남잔데 홀리네 진짜 ㅋㅋ 미모가 와..
4286,아 자막 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4287,"내귀에 캔디 
진주 보석같은 
떠오르는~
 대세스타 
국민 연하남 등극!!!
1등급 1순위 
짱기용 

액션 장르물부터~
달달 멜로까지 
싹~~다 되게하는 
얼굴천재 
비율천재 
 연기천재 
변신의 귀재 

보면볼수록~
묘~하게 
빠져들게 만드는
 중독성강한
 매력적인 피지컬!!
 
다재다능하고~ 
독보적인 
팔색조 캐릭터 
무~~한 
잠재된 매력남
짱기용 

존재자체가 아~트 
아주~그냥 
죽여줘용 "
4288,최근에 검블유 정주행하고 검블유에서 못해어나어는중 ㅜㅜㅜ
4289,진짜 카메라워킹 배우신분아래에서 위로 훑어주시면 진짜 감사합니다
4290,"진짜 저런 연하 없다 ,,  이드라마를 몇일전에 안 내 자신아 뭐했니 
정주행 중입니더"
4291,my favorite kdrama ️
4292,Como ae chama o dorama?
4293,진짜...연하 싫어하는데...연하 만나고싶게 만드는 드라마여...뚀륵...
4294,아놔 진짜 미쳐버리겠네  이런영상 너무좋아
4295,아 진짜 미쳨ㅅㅇ어 아니 말로 표현할수 없는ㄴ 장기용씨................ 하
4296,아니 존나 좋아요.진짜 존나.아니 진짜 존나존나요.특히 카메라요 돌아버린것처럼 존나 좋아요 존나라는 의미는 존나 아무것도 아닐만큼 존나 좋아요
4297,"이다음씬이 대박인데..,"
4298,검블유 2나왔음해요...
4299,모건 느그 개저씨 에서 지은이 삥 존나게 뜯는역할 했었어서 초반에 몰입 약간 안됐었는데 지금은 씨ㅣ발 모건아 니가 대한민국 드라마계의 미래야
4300,요즘 세상 좋네 내 속마음이 자막으로 다나오고
4301,"たまらなく このドラマが好き️
何回も観てしまう️
どうしょう️"
4302,"아니ㅋㅋㅋ 근데 저번부터 카메라가 찍는각도
웃긴다ㅋㅋ 얼굴옆으로확대에서 찍는거랑ㅋㅋ"
4303,진짜... 솔직히 이런 생각하면 안 되지만 반대였다면... 으... 생각만해도 파장이 장난 아니었을듯 ㅋㅋ
4304,내가왜 이걸 3번이나보고있지...
4305,장기용️️️
4306,내 머릿속의 음란마귀를 마구마구 부활시키네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ와 미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야해야해
4307,너무 보고싶다 모건아 ㅠ
4308,Cómo se llama esté dorama?
4309,자막 진짜 ㅋㅋㅋㅋㅋ타이밍이랑 내용 ㅋㅋㅋㅋㅋㅋㅋ씹적절 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ내맴읽으시는갱요??ㅋㅋㅋㅋ
4310,판타지드라마 아니냐ㅋㅋㅋㅋㅋㅋㅋㅋ
4311,장기용 발성 살짝 느끼해..임수정 연기내공이 똭 보인다 존나 자연스러워
4312,ㅜㅜㅜㅜㅜㅜ아씨 볼때마다 행복해ㅠㅠ 남자는 역시 셔츠다 단추 두개정도 ㅠㅠ 내 이상형 소나무 장기용 셔누 지수 ㅜㅜㅜㅜㅜㅜㅜ개좋다 섹시해
4313,집앞에서 눈만빼고 블러 ...이건 각본이며 연출이며 카메라감독이며 다 작정하고만든 포르노닷!!!!!!!!ㅎㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
4314,드디어ㅠ
4315,짧은 인생 산 결과 저런 연하 없다....비현실 ㅠㅠ
4316,16만명의 심장을 들쑤시고 간 영상
4317,"나쁜 녀석들 보고 장기용씨 처음 알게 됐는데 원래 저렇게 섹시한가요? 영화 속에서 욕을 너무 기깔나게 잘하시길래 귀에서 피가 나더라고요,,,"
4318,"이오빠 옆태 존잘이다
카메라 미쳤나봐;,몸 다찍고있어..ㅠㅠ
꺅 개잘생겼어"
4319,장기용 사랑해️ 다시 정주행 해야지 섹시한 남자가 최고야 
4320,카메라감독님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4321,반대편집에서 사람나오면 갑분싸ㅋㅋㅋㅋ
4322,Qual nome desse dorama?
4323,"장기용 솔직히 존재 자체가 유혹하는거임,,말이냐고 저게.하아...ㅋ코피,,"
4324,연예인들은 어떰어떰 이렇게 잘생기고 이쁘게 생겼을깡
4325,꿀단지 커플보고 나면 꿀단지 속에 있는 느낌 ㅠ
4326,자막웃겨여ㅎㅎㅎㅎㅎㅎ
4327,판타지는 아닌게 솔직히 이수정정도 외모에다가 저 스펙에 저 재력이면 저정도 남자들은 깔리고 널렸음 너무 비현실적이라고 하는데 솔직히 이수정 얼굴보면 노노 충분히 가늉 진짜 씹존예
4328,하씨…내가 이 엘베씬을 복도가너무짧다 길줄알았는데 대사하나하나 타미랑 오래있고싶고 집들어갔다가 훅나가서 가지말까요부터 “어” 에서 씨벌 사람마음 조져버리시네 진짜 너무좋아서 욕계속하고싶다 하 엘베 두번째 열때 장기용 표정이진짜 납치하고싶다오진다
4329,"Na-moo yaa — what are you doing here? 
You look so hott in here, omoo omoo "
4330,미쳣당ㅠㅠ연하최고
4331,미쳣...... 
4332,JKY voice is very musculine 
4333,분위기 개섹시해
4334,카메라감독님 배우신분
4335,There scene is here hoootttt.. ️️️  After this there scene in the car is cute... 
4336,동굴 목소리 
4337,섹시를 넘어서 섹기다 이건.. 철철 흐르네 흘러.. 섹기도 내 코피도
4338,He should comb his hair all the time in this drama.
4339,Uau  
4340,"제목 ㅋㄱㄲㅋㄲㅋ 포☆마☆드 , 핏☆줄 , 셔☆츠 ^^ 아주 좋아요 * ^~^ *"
4341,아 열라섹시한드라마임
4342,이걸 실시간으로 본 경비원님은 어땠을까..
4343,정말감사합니다 ㅜㅜㅜ
4344,이걸 지금 몇번째 보는 건지 모르겠다
4345,여기서는 이런 멋쟁이 모습인데 왜 니베아 따위의 광고를 찍으셨을까....
4346,So cute 
4347,4:49 자막 내가 편집한 줄 알았다 내마음 가득 그리고 우리나라는 왜 17금 드라마 안만들어요... 미드처럼 만들어...줘라...
4348,하...ㅠㅠ 진짜 도랐다...... 미쳐.. 도랏.......ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
4349,당신한테 오늘이 우리의 처음이었으면 좋겠다. 배타미
4350,My new boy crushie as of the moment is Jang Kiyoung  !!! #myroommateisagumiho  here probably he was only 26 yrs.old ?!
4351,7:53 엘베문 열렸다 닫혔다 열리는거 뭔데 웃기냐.... 나만 그럼..?
4352,와 엘베씬 진짜 싸우기전 눈빛이야 잡아먹을꺼 같은 눈빛ㅜㅜ 근데 검블유 장기용 너무 좋고 다좋은데 연애전선만 들어가면 음악이고 대사고 카메라고 전부 늘어지는거 너무 싫어서 맨날 넘겼었음 ㅠㅠ 이다희나오는거만 개 열심히봄ㅋㅋㅋㅋ
4353,현실 28살 : 오빠충이 대부분임 라떼는 말이야 ~~~~~
4354,7:35 배타미ㅜㅜㅜ 사랑ㅇ해ㅜㅜ
4355,연하남의 도발이 너무 좋더라
4356,"엘리베이터 임수정이 열었을때... ""이 시간에.. 어딜 또 가세요?"" 이래야 하는거 아니에요? ㅋㅋ 아~ 남자가 이 모든 상황을 계획했던거 일수도 있겠네요"
4357,장기용 연상이랑 더 잘어울리는듯~~
4358,"이렇게 너무 드라마를 드라마화해버리면 볼때는 좋은데 보고나서 
허탈감이 밀려올수 있는 부작용이 있음 . 적당히 현실화해서 드라마를
만들어야되는데 그런점에서는 에바인 드라마임"
4359,현실 28이면 애새낀데... 저런애다 어딨어ㅜㅜㅜㅜㅜㅜ
4360,가쥐마까요? 키스신을 이렇게 찍어주시면 우리가 좋아한다고 생각하시면 아주 좋아요
4361,오우...눈빛이 아주~섹시해!!!><꺅!!!!!!저미소!!!!플러스!!!심쿵?!!!!
4362,자막 ㅋㅋㅋ 사무실 다 뿌시고 사망 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4363,와 근데 임수정 이목구비가 완전 똭뙇땩ㄱ...
4364,"나쁜녀석들 보고 다시 온사람 나 밖에 옶나 ...
거기서도 섹시했는데 여기서도 섹시하다 기용아 ,,  ㅁ미치겠다 누나 운다 울어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
4365,장르가 판타지물이었구나
4366, 이런이런 여우다! ㅋㅋㅋ
4367,"너무좋아서  또 보러 왔습니다
엘리베이터. . . 저돌적인 워킹. . .
나! 나! ! 나!
으악. . . 진짜  하악"
4368,"이 다음 대사도 좋았는데...
""어서 날 집에 데려가요""였던가? 암튼 흐흣~♡"
4369,아 모건타임 너무 지겨웠지만...이건 좋은데.. ??!!!
4370,I just wiped my drool
4371,Rip my English speaking self 
4372,Adam cok yakışıklı maşaallah alan sanslı
4373,"Здравствуйте ! А подскажите пожалуйста как называется эта дорама ?
Заранее спасибо"
4374,"요냔들아.. 몇 번을 돌려 본거니.. 조회수가 500만을 넘었다 냔들아,,,,"
4375,아 미친.... 미쳤다...
4376,실제 저런남잔 없다고 ㅠㅜㅜㅠ
4377,간동거 보고 오셨죠?미리 와서 누워있었습니다. 오늘 첫방하면 곧 장기용 찾아 오실거라 믿어 의심치 않습니다. 심장 부여잡고 치이다 가십시요..........
4378,와 ㄹㅇ 변태 카메라 앵글에서 치이고 엘베에서 기다린거에 치인다
4379,오마이갓 미쳔네 완전 부럼
4380,강의 째고 이거 보면서 오열했슴둥
4381,가지말까요 레전드 ...
4382,덮모건짱이당ㅠㅜ우우우유우우우ㅜㅜ
4383,와 카메라 감독님 너무 노골적인거 아닌가요 이런거 좋아할거라고 생각했다면 좋아합니다 네 이 드라마가 뭐라고요?
4384,카메라 대단 ~ 내 시선처리랑 비슷 ♡♡♡
4385,"""우리 처음만났던난 같이 오락하고 술한잔하고 내가 이렇게 집에 대려다 줬으면 우리좀 쉬웠어요?""(와 오진다)
""계속 후회됬어요. 그래서 되돌려봤어요.당신한테 오늘이 우리의 처음이였으면 좋겠다...착각이 됬으면 좋겠다... 만나서 반가웠어요. 베타미.""(왘)
""가지 말까요?""(........ㅋㅋㅎㅎ??)"
4386,아니ㅋㅋㅋㅋㅋㅋ내가 볼땐 120만이였는데 언제 140만이 된거죸ㅋㅋㅋㅋㅋ
4387,진짜 사람 홀려ㅠㅠ
4388,He is 
4389,꺅~~~장기용
4390,현실에서 저러시면 완전 선수  ㅎㅎㅎ
4391,어우잘생겻엉ㅜㅜ
4392,둘케미  짱  아쉽이제ㅠ
4393,모거니 우리집 패션 로맨틱. 성공적.
4394,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ자막 누구세요? 개웃기닼ㅋㅋㅋㅋㅋㅋㅋ
4395,자막이 더웃겨
4396,미쳤다아아아아
4397,하 이거먼데진짜......
4398,2:42 그건 미안하고 .. ㅆㅂ 일단 설레고 .. 잦댔다 ... 왜 항상 이런 고귀한 드라마 같은건 공부하기 전에 발견하는가 불변의 법칙 ㅅㅂ
4399,악~~~~진짜.....남배우....섹텐오짐....혼자보는드라마!!!!!
4400,"세상미친 미친미친미친
장기용이 이렇게도 섹시했던가 
아 도ㄹ겠누...왜 보는데도 설레 그치그치 정상이겠지..? 아ㅜㅠㅠ개설레ㅠㅠㅠ"
4401,My heart is crushing and craking
4402,키 차이가 아주...
4403,장기용 목소리 개발려 크읍..
4404,"올바른 시선의 흐름 예시 뭐예요ㅎㅎ
카메라감독 여자임 백퍼
이번편 내폴더에 저장했다 하루에 한번씩 본다"
4405,오우..긱사 룸메 몰래 숨죽이고 보는데 오우ㅎㅎ하핳 너무 좋다ㅎㅎㅎ
4406,Eng sub pleaseeeee
4407,근데 원래 이 드라마색감이 저렇게 주황주황한가.. 좀 흐릿하게 보여욤-!
4408,더운여름 함께 했던 드라마
4409,진짜 나도 세상에 마상에 씹상에다....
4410,이 드라마는 변태같은 카메라 무빙이 여러 몫한 드라마다.....또 정주행 해야지이..
4411,하.................. 너무 조ㅗ아 미처버리겠다
4412,"와.............이 드라마 개 젛다..제발...
망상 쩔게 만드네....️"
4413,HES KINDA MIXED OF KIM WOBIN AND HYUN BIN SOOOI HANDSOMEA VERSATILE ACTORS
4414,하 지은 니은 박력있어!><
